id,name,country,age,premier,bundes,seriea,spain
25957,igor de camargo,Brazil,33,0,1,0,0
25986,nilmar,Brazil,32,0,0,0,1
25990,joao pereira,Portugal,32,0,1,0,1
25997,georgios karagounis,Greece,39,1,0,0,0
26005,thomas vermaelen,Belgium,30,1,0,0,1
26010,jeffrey sarpong,Netherlands,28,0,0,0,1
26044,krisztian vadocz,Hungary,31,0,0,0,1
26066,kamil zayatte,Guinea,31,1,0,0,0
26096,clarence seedorf,Suriname,40,0,0,1,0
26098,kakha kaladze,Georgia,38,0,0,1,0
26099,paolo maldini,Italy,48,0,0,1,0
26108,younes kaboul,France,30,1,0,0,0
26111,bacary sagna,France,33,1,0,0,0
26115,garra dembele,France,30,0,1,0,0
26143,daniel cousin,Gabon,39,1,0,0,0
26145,olivier thomert,France,36,0,0,0,1
26146,seydou keita,Mali,36,0,0,1,1
26151,kevin mirallas,Belgium,28,1,0,0,0
26154,mathieu debuchy,France,31,1,0,0,0
26160,yohan cabaye,France,30,1,0,0,0
26163,hatem ben arfa,France,29,1,0,0,0
26165,john carew,Norway,37,1,0,0,0
26166,karim benzema,France,28,0,0,0,1
26171,lorik cana,Kosovo,33,1,0,1,0
26173,faryd mondragon,Colombia,45,0,1,0,0
26181,samir nasri,France,29,1,0,0,0
26195,ludovic obraniak,France,31,0,1,0,0
26209,sebastien bassong,France,30,1,0,0,0
26214,diego perez,Uruguay,36,0,0,1,0
26221,serge gakpe,France,29,0,0,1,0
26223,bostjan cesar,Slovakia,34,0,0,1,0
26234,gergely rudolf,Hungary,31,0,0,1,0
26244,sebastien puygrenier,France,34,1,0,0,0
26253,mauro cetto,Argentina,34,0,0,1,0
26255,emir spahic,Croatia,36,0,1,0,1
26256,lars jacobsen,Denmark,37,1,0,0,0
26257,daniel jensen,Denmark,37,0,1,1,0
26285,milos dimitrijevic,Serbia and Montenegro,32,0,0,1,0
26294,ederson,Brazil,30,0,0,1,0
26295,hugo lloris,France,29,1,0,0,0
26310,cristian rodriguez,Uruguay,30,0,0,1,1
26315,mario yepes,Colombia,40,0,0,1,0
26324,arnold mvuemba,France,31,1,0,0,0
26330,jimmy briand,France,31,0,1,0,0
26335,simon pouplin,France,31,0,1,0,0
26344,bafetimbi gomis,France,31,1,0,0,0
26345,damien perquis,France,32,0,0,0,1
26347,frederic piquionne,France,37,1,0,0,0
26348,herita ilunga,Congo [DRC],34,1,0,0,0
26349,ignacio piatti,Argentina,31,0,0,1,0
26354,mouhamadou dabo,Senegal,29,0,0,0,1
26368,dusko tosic,Serbia and Montenegro,31,0,1,0,0
26374,mevlut erdinc,France,29,0,1,0,0
26383,habib bellaid,France,30,0,1,0,0
26388,yacine abdessadki,France,35,0,1,0,0
26392,kevin gameiro,France,29,0,0,0,1
26403,jeremy mathieu,France,32,0,0,0,1
26434,ibrahim afellay,Netherlands,30,1,1,0,1
26436,michael ball,United Kingdom,36,1,0,0,0
26437,jefferson farfan,Peru,31,0,1,0,0
26440,timmy simons,Belgium,39,0,1,0,0
26454,gretar rafn steinsson,Iceland,34,1,0,0,0
26461,erik nevland,Norway,38,1,0,0,0
26465,gibril sankoh,Sierra Leone,33,0,1,0,0
26472,michael bradley,United States,29,0,1,1,0
26489,edson braafheid,Suriname,33,0,1,1,0
26494,marc-antoine fortune,France,35,1,0,0,0
26519,said boutahar,Netherlands,34,0,0,0,1
26522,kevin constant,France,29,0,0,1,0
26527,jonas olsson,Sweden,33,1,0,0,0
26535,kennedy bakircioglu,Sweden,35,0,0,0,1
26539,karim el ahmadi,Netherlands,31,1,0,0,0
26545,peter niemeyer,Germany,32,0,1,0,0
26552,jose fonte,Portugal,32,1,0,0,0
26554,jose leonardo ulloa,Argentina,30,1,0,0,1
26564,alex,Brazil,34,1,0,1,0
26588,roel brouwers,Netherlands,34,0,1,0,0
26618,paul verhaegh,Netherlands,33,0,1,0,0
26660,ragnar klavan,Estonia,30,0,1,0,0
26777,brede hangeland,United States,35,1,0,0,0
